,State,Year,Total,Asian,Balck,Hispanic,WHite,other
36,New York,2010,916600,173700,126300,521000,78400,17200
87,New York,2011,864900,156700,117100,490600,83400,17200
138,New York,2012,854100,150600,115000,491900,75900,20700
189,New York,2013,818900,146700,102100,486800,68600,14600
240,New York,2014,817200,159700,106400,468900,67400,14800
291,New York,2015,806400,161800,102700,453300,72100,16500
342,New York,2016,801600,166900,96400,450000,71500,16800
393,New York,2017,753200,154500,89200,421200,71500,16700
444,New York,2018,684000,130800,85900,379500,68900,19000
495,New York,2019,641700,128200,71700,361700,61900,18100
